date,open,close,high,low,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,ma5,ma30
2004-07-29,3.625,3.75,3.775,3.6,3498000,12943000.0,4.76,2.04,0.075,0.2,3.6099999999999994,4.009166666666667
2004-07-30,3.8,3.85,3.875,3.725,10065000,38332000.0,4.0,2.67,0.1,0.58,3.675,3.9991666666666665
2004-08-02,3.85,3.875,3.875,3.7,5352000,20459000.0,4.55,0.65,0.025,0.31,3.775,3.9875
2004-08-03,3.9,3.975,3.975,3.875,12739000,50043000.0,2.58,2.58,0.1,0.73,3.825,3.985833333333333
2004-08-04,3.925,3.875,3.925,3.825,2849000,11000000.0,2.52,-2.52,-0.1,0.16,3.8649999999999998,3.9816666666666665
2004-08-05,3.9,3.975,4.025,3.9,6785000,27098000.0,3.23,2.58,0.1,0.39,3.91,3.966666666666667
2004-08-06,3.925,4.0,4.05,3.925,4334000,17332000.0,3.14,0.63,0.025,0.25,3.94,3.9508333333333336
2004-08-09,4.0,4.0,4.0,3.95,4497000,17938000.0,1.25,0.0,0.0,0.26,3.9650000000000007,3.9375
2004-08-10,4.05,3.875,4.05,3.875,4209000,16516000.0,4.38,-3.13,-0.125,0.24,3.9450000000000003,3.9233333333333333
2004-08-11,3.925,3.7,3.925,3.675,6565000,24628000.0,6.45,-4.52,-0.175,0.38,3.91,3.9025000000000003
2004-08-12,3.675,3.75,3.75,3.625,5173000,19153000.0,3.38,1.35,0.05,0.3,3.8649999999999998,3.8841666666666668
2004-08-13,3.675,3.75,3.75,3.675,977000,3642000.0,2.0,0.0,0.0,0.06,3.815,3.864166666666667
2004-08-16,3.7,3.75,3.775,3.6,2665000,9836000.0,4.67,0.0,0.0,0.15,3.7649999999999997,3.8433333333333337
2004-08-17,3.75,3.7,3.75,3.675,893500,3320000.0,2.0,-1.33,-0.05,0.05,3.7299999999999995,3.82
2004-08-18,3.75,3.725,3.75,3.7,676000,2503000.0,1.35,0.68,0.025,0.04,3.7350000000000003,3.8016666666666667
2004-08-19,3.725,3.7,3.8,3.675,3979000,14914000.0,3.36,-0.67,-0.025,0.23,3.725,3.7883333333333336
2004-08-20,3.725,3.725,3.725,3.675,3456000,12774000.0,1.35,0.68,0.025,0.2,3.72,3.7766666666666664
2004-08-23,3.75,3.65,3.75,3.575,2150000,7803000.0,4.7,-2.01,-0.075,0.12,3.7,3.7658333333333336
2004-08-24,3.65,3.6,3.65,3.55,3268000,11758000.0,2.74,-1.37,-0.05,0.19,3.6799999999999997,3.7516666666666665
2004-08-25,3.625,3.5,3.625,3.475,4818000,17043000.0,4.17,-2.78,-0.1,0.28,3.6350000000000002,3.7425
2004-08-26,3.55,3.4,3.575,3.375,8416000,29249000.0,5.71,-2.86,-0.1,0.48,3.575,3.7333333333333334
2004-08-27,3.45,3.5,3.525,3.425,9896000,34368000.0,2.94,2.94,0.1,0.57,3.53,3.726666666666667
2004-08-30,3.5,3.5,3.55,3.475,2126000,7475000.0,2.14,0.0,0.0,0.12,3.5,3.7175000000000002
2004-08-31,3.525,3.65,3.675,3.475,2290000,8185000.0,5.71,4.29,0.15,0.13,3.5100000000000002,3.7141666666666664
2004-09-01,3.675,3.625,3.675,3.6,2072000,7532000.0,2.05,-0.68,-0.025,0.12,3.535,3.7083333333333335
2004-09-02,3.65,3.625,3.65,3.6,3049000,11076000.0,1.38,0.0,0.0,0.17,3.5800000000000005,3.7108333333333334
2004-09-03,3.65,3.6,3.65,3.575,1870000,6734000.0,2.07,-0.69,-0.025,0.11,3.6,3.7133333333333334
2004-09-06,3.6,3.65,3.675,3.575,2437000,8863000.0,2.78,1.39,0.05,0.14,3.6300000000000003,3.7224999999999997
2004-09-07,3.675,3.775,3.775,3.675,8060000,30048000.0,2.74,3.42,0.125,0.46,3.6550000000000002,3.724166666666667
2004-09-08,3.75,3.725,3.75,3.675,1711000,6359000.0,1.99,-1.32,-0.05,0.1,3.675,3.725833333333333
2004-09-09,3.675,3.65,3.7,3.65,692000,2534000.0,1.34,-2.01,-0.075,0.04,3.6800000000000006,3.7224999999999997
2004-09-10,3.65,3.7,3.7,3.625,622000,2277000.0,2.05,1.37,0.05,0.04,3.7,3.7175000000000002
2004-09-13,3.625,3.475,3.625,3.45,7420000,26028000.0,4.73,-6.08,-0.225,0.43,3.6650000000000005,3.7041666666666666
